Month_Week,date,Covid,Influenza,Influenza_Season
May Week 2,2024-05-11,22.4806,48.5,2023-2024
May Week 1,2024-05-04,22.4682,48.5,2023-2024
April Week 4,2024-04-27,22.3263,48.2,2023-2024
April Week 3,2024-04-20,22.2945,48.1,2023-2024
April Week 2,2024-04-13,22.2919,48.1,2023-2024
April Week 1,2024-04-06,22.2432,48,2023-2024
March Week 5,2024-03-31,22.2107,47.4,2023-2024
March Week 4,2024-03-23,22.0465,47.4,2023-2024
March Week 3,2024-03-16,21.9097,47.3,2023-2024
March Week 2,2024-03-09,21.7339,47.2,2023-2024
March Week 1,2024-03-02,21.5254,47.1,2023-2024
February Week 4,2024-02-24,21.0986,46.3,2023-2024
February Week 3,2024-02-17,21.0372,46.1,2023-2024
February Week 2,2024-02-10,20.8758,46,2023-2024
February Week 1,2024-02-03,20.7752,45.8,2023-2024
January Week 4,2024-01-27,20.4892,45,2023-2024
January Week 3,2024-01-20,20.1597,44.7,2023-2024
January Week 2,2024-01-13,19.7737,44.2,2023-2024
January Week 1,2024-01-06,19.3439,43.8,2023-2024
December Week 5,2023-12-30,18.2948,43.3,2023-2024
December Week 4,2023-12-23,17.9756,42.7,2023-2024
December Week 3,2023-12-16,17.6238,41.8,2023-2024
December Week 2,2023-12-09,17.2448,40.9,2023-2024
December Week 1,2023-12-02,16.495,39.8,2023-2024
November Week 4,2023-11-25,14.7321,36.5,2023-2024
November Week 3,2023-11-18,14.4094,35.6,2023-2024
November Week 2,2023-11-11,13.0888,33.8,2023-2024
November Week 1,2023-11-04,11.7979,32,2023-2024
October Week 5,2023-10-28,9.7317,27.2,2023-2024
October Week 4,2023-10-21,8.4691,24.7,2023-2024
October Week 3,2023-10-14,6.3713,21,2023-2024
October Week 2,2023-10-07,4.299,16.6,2023-2024
October Week 1,2023-09-30,2.9889,13.9,2023-2024
